,Q1,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q4,Q5,Q6_A,Q6_B,Q6_C,Q6_D,Q6_E,Q8,Q9A,Q9B,Q9C,Q10,Q11,Q12,OFTVOTE,SNS,PARTY,PARTYLN,IDEO,SEX,MARITAL,Q16,Q17_A,Q17_B,Q17_C,Q17_D,Q17_E,Q17_F,Q17_G,Q24,Q25,QR2,LGBT,Q27,Q31,Q32,Q32A_Codes,Q32A_posOE1,Q32A_posOE2,Q32A_posOE3,Q32A_posOE4,Q32A_negOE1,Q32A_negOE2,Q32A_negOE3,Q33_A,Q33_B,Q33_C,Q33_D,Q39,Q40,Q41,Q42,Q44,Q44new_OE1,Q44new_OE2,Q44new_OE3,q44aNEW,q44compNEW,Q44B,Q44C,Q45,Q45new_OE1,Q45new_OE2,Q45new_OE3,q45aNEW,q45compNEW,Q45B,Q45C,Q46,q46aNEW,q46compNEW,Q47,q47aNEW,q47compNEW,Q48,Q49,q52oe_1,q52oe_2,q52oe_3,Q53,Q54,Q55,Q56_A,Q56_B,Q56_C,Q56_D,Q56_E,Q56_F,Q56_G,Q63_A,Q63_B,Q63_C,Q63_D,Q63_E,Q63_F,Q64_OE1,Q64_OE2,Q64_OE3,Q65_A,Q65_B,Q65_C,Q65_D,Q65_E,Q66_A,Q66_B,Q66_C,Q66_D,Q66_E,Q66_F,Q67,Q68,Q70,Q71,Q72,Q73,Q74,Q80_A,Q80_B,Q80_C,Q80_D,Q80_E,Q80_F,Q80_G,Q82_A,Q82_B,Q82_C,Q82_D,Q82_E,Q82_F,Q83_A,Q83_B,Q83_C,Q83_D,Q83_E,Q83_F,Q84,Q85,Q85a,Q86,Q87,Q88,Q89,Q90,Q92,Q93,Q94,Q95,Q96,EMPLOY2,Q98,Q99,Q102A,Q102B,Q102C,Q102D,USBORN,religNEW,CHR,BORN,ATTEND,IMP,REG,INCOME,ppagecat,PPEDUCAT,PPETHM,PPHHHEAD,PPHHSIZEnew,PPT017,PPMSACAT,PPRENT,PPNET,weight,duration
701,Pretty happy,Wrong track,Mostly unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,"A bigger government, providing more services",Hardly at all,A lot,A lot,A lot,A lot,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Poor shape,Strongly favor,Strongly favor,Seldom,Yes,Independent,The Democratic Party,Very liberal,Male,"Living with a partner, including a civil union",NA,Somewhat important reason,Somewhat important reason,Somewhat important reason,Not an important reason,Not an important reason,Very important reason,Not an important reason,Bisexual,No,NA,bisexual,Only or mostly attracted to males,Not at all important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Not at all,Only a little,NA,Not at all,8,NA,12,NA,"No, did not tell my mother",Wouldn't have been accepting or understood/Worried about how it would affect relationship,NA,NA,NA,No did not tell mom (but could have),NA,NA,"No, did not tell my father",Not ready/Guilty/Not comfortable/Timing wasn't right,NA,NA,NA,No did not tell dad (but could have),NA,NA,"No, did not tell any sister(s)",NA,No did not tell sister (but could have),"No, did not tell any brothers(s)",NA,No did not tell brother (but could have),"No, did not",Only a few of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,NA,NA,Some,A lot more accepting,No different,Neutral,Unfriendly,Neutral,Friendly,Neutral,NA,Neutral,Helps a little,Does not help,Helps a little,Helps a little,Helps a little,Does not help,Jay-Z,Russell Simmons,NA,Some,Only a little,Only a little,A lot,None at all,Unfriendly,Neutral,Neutral,Unfriendly,Unfriendly,Unfriendly,"No, no conflict",NA,Not a reason,Only a little,No,No,Some of them,Top priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Never happened,Never happened,"Yes, happened in past 12 months",Never happened,Never happened,Never happened,"No, never done this","No, never done this","Yes, in past 12 months","No, never done this","Yes, in past 12 months","No, never done this","Yes, in past 12 months","No, do not regularly discuss LGBT issues",Yes,Not sure,Male,NA,NA,No,No,NA,No,NA,No,Employed part-time,Somewhat accepting,None of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"Less than $20,000",18-24,Some college,"Black, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.7124,22
702,Very happy,Right direction,Very favorable,Very favorable,Mostly unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,A lot,Some,A lot,Some,A lot,To protect the right of Americans to own guns,"Immigrants today are a burden on our country because they take our jobs, housing and health care","Generally speaking, most people can be trusted",Poor people today have it easy because they can get government benefits without doing anything in return,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Liberal,Male,Never been married,No,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Not an important reason,Very important reason,Bisexual,No,NA,bisexual,About equally attracted to males and females,Extremely important,Something positive,NA,Makes me a stronger person/Role model for other LGBT,NA,NA,NA,NA,NA,NA,A lot,A lot,NA,Some,11,NA,13,18,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Not change,"No, did not tell my father",Not close with him/He lives far away,NA,NA,NA,No did not tell dad (but could have),NA,NA,"Yes, told one or more sisters",NA,Yes told sister,"Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Ignorance/misunderstanding/stupidity/fear/stereotyping,NA,NA,A lot,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Neutral,Friendly,Neutral,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,No one specific,NA,NA,A lot,A lot,A lot,A lot,Only a little,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,"Yes, conflict",A little conflict,Minor reason,A lot,No,Yes,NA,Top priority,Very important but lower priority,Top priority,Top priority,Very important but lower priority,Top priority,Very important but lower priority,Never happened,"Yes, happened, but not in past 12 months",Never happened,Never happened,Never happened,"Yes, happened, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","No, never done this","Yes, but not in past 12 months","Yes, in past 12 months","No, never done this","Yes, in past 12 months","No, do not regularly discuss LGBT issues",Yes,Yes,NA,NA,NA,NA,Yes,No,NA,NA,NA,Employed full-time,Very accepting,All or most of them,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Protestant,NA,"Yes, born again",Once a week,Very important,I am absolutely certain that I am registered to vote at my current address,"$20,000 to under $30,000",25-34,Some college,"Black, Non-Hispanic",No,5 or more people,At least 1 person <18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7124,113
703,Pretty happy,Right direction,Mostly favorable,Mostly favorable,Mostly unfavorable,NA,"A smaller government, providing fewer services",Some of the time,Some,Some,Some,Some,A lot,To protect the right of Americans to own guns,"Immigrants today are a burden on our country because they take our jobs, housing and health care",You can't be too careful in dealing with people,Poor people today have it easy because they can get government benefits without doing anything in return,Only fair shape,Strongly favor,Strongly favor,Part of the time,Yes,Democrat,NA,Moderate,Female,Never been married,No,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Not an important reason,Very important reason,Very important reason,Gay,No,NA,lesbian,Only or mostly attracted to females,Not at all important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Not at all,16,NA,18,18,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"No, did not tell my father","Never told him, but he just knew/someone else told him",NA,NA,NA,No did not tell dad (but could have),NA,NA,"Yes, told one or more sisters",NA,Yes told sister,"Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",Only a few of them,DK/No answer,NA,NA,Some,A lot more accepting,A lot more accepting,Neutral,Neutral,Friendly,Friendly,Neutral,Neutral,Neutral,Helps a lot,Helps a lot,Helps a lot,Helps a little,Helps a lot,Helps a little,Don't know,NA,NA,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,"No, no conflict",NA,Not a reason,Some,No,No,Only a few of them,Top priority,Top priority,Very important but lower priority,Top priority,Very important but lower priority,Somewhat important priority,Somewhat important priority,Never happened,Never happened,Never happened,Never happened,Never happened,"Yes, happened, but not in past 12 months","No, never done this","No, never done this","No, never done this","No, never done this","Yes, but not in past 12 months","No, never done this","No, never done this","No, do not regularly discuss LGBT issues",No,No,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,Employed full-time,Very accepting,Only a few of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$50,000 to under $75,000",45-54,High school,"White, Non-Hispanic",Yes,2,At least 1 person <18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7156,14
704,Pretty happy,Wrong track,NA,NA,NA,NA,"A smaller government, providing fewer services",Most of the time,None at all,None at all,None at all,None at all,Only a little,To protect the right of Americans to own guns,"Immigrants today are a burden on our country because they take our jobs, housing and health care",You can't be too careful in dealing with people,NA,Excellent shape,Strongly oppose,Strongly oppose,Always,Yes,Independent,The Democratic Party,NA,Male,Widowed,Yes,Not an important reason,Not an important reason,Not an important reason,Very important reason,Not an important reason,Not an important reason,Somewhat important reason,NA,NA,NA,bisexual,Only or mostly attracted to females,Not at all important,Doesn't make much of a difference,NA,NA,NA,NA,NA,NA,NA,NA,Not at all,Not at all,NA,Not at all,50,NA,NA,NA,"No, did not tell my mother",No answer,NA,NA,NA,No did not tell mom (but could have),NA,NA,Not applicable,NA,NA,NA,Dad not part of life or passed away before could tell,N/A dad not part of life or died/sick,NA,NA,"No, did not tell any sister(s)",NA,No did not tell sister (but could have),"No, did not tell any brothers(s)",NA,No did not tell brother (but could have),"No, did not",None of them,Nonsubstantive,NA,NA,A lot,A lot more accepting,A lot less accepting,Friendly,Friendly,Friendly,Friendly,Friendly,Unfriendly,Neutral,NA,NA,NA,NA,NA,NA,Refused to answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, conflict",A lot of conflict,Not a reason,NA,NA,NA,None of them,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, never done this","No, do not regularly discuss LGBT issues",No,No,NA,Female,NA,NA,Yes,No,NA,NA,NA,Employed full-time,NA,None of them,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,NA,NA,NA,Born in another country,Roman Catholic,NA,"No, not born again",More than once a week,Very important,I am absolutely certain that I am registered to vote at my current address,"$100,000 to under $150,000",35-44,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7159,11
705,Pretty happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly favorable,"A bigger government, providing more services",Most of the time,A lot,A lot,A lot,A lot,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Excellent shape,Strongly favor,Strongly favor,Always,No,Independent,The Democratic Party,Very liberal,Female,Married,NA,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Lesbian,No,NA,lesbian,Only or mostly attracted to females,Very important,Something positive,NA,Defines me/proud of/happy with who I am/Born this way/God made me this way,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,5,NA,30,30,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Not change,"No, did not tell any sister(s)",NA,No did not tell sister (but could have),"No, did not tell any brothers(s)",NA,No did not tell brother (but could have),"Yes, told one or more close friends",Some of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,NA,NA,Some,A lot more accepting,A lot more accepting,Neutral,Unfriendly,Friendly,Neutral,Neutral,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a little,Ellen DeGeneres,NA,NA,Some,Some,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Minor reason,Some,No,No,Some of them,Top priority,Top priority,Top priority,Top priority,Somewhat important priority,Top priority,Top priority,"Yes, happened, but not in past 12 months","Yes, happened in past 12 months","Yes, happened, but not in past 12 months","Yes, happened in past 12 months","Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",NA,NA,Female,NA,Legally married under state law,NA,Yes,No,No,NA,NA,Retired,NA,NA,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},These types of places will not be important as LGBT people are more accepted into society,Born in another country,Roman Catholic,NA,"No, not born again",Once or twice a month,Very important,I am absolutely certain that I am registered to vote at my current address,"$100,000 to under $150,000",75+,Some college,"White, Non-Hispanic",Yes,2,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7167,3491
706,Pretty happy,Wrong track,Mostly favorable,Mostly favorable,Very unfavorable,Mostly favorable,"A bigger government, providing more services",Most of the time,A lot,A lot,Some,Some,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Liberal,Male,Never been married,Yes,Not an important reason,Somewhat important reason,Very important reason,Not an important reason,Very important reason,Very important reason,Not an important reason,Gay,No,NA,gay,Only or mostly attracted to males,Very important,Something positive,NA,Gives me empathy for other minority groups/Makes me focus on justice & equality,NA,NA,NA,NA,NA,NA,Some,NA,Some,Some,4,NA,13,17,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Grow stronger,"Yes, told my father",NA,NA,NA,NA,Yes told dad,It was difficult to tell him,Grow stronger,"Yes, told one or more sisters",NA,Yes told sister,"Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,Violence/bullying/hate crimes,Legal rights (general),Some,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Neutral,Unfriendly,Neutral,Helps a lot,Helps a little,Helps a little,Helps a lot,Helps a little,Does not help,Barack Obama,Senators/Congresspeople/Legislature (general),Supreme Court,Some,Only a little,Some,Some,None at all,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Major reason,A lot,Yes,NA,Some of them,Top priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Somewhat important priority,Very important but lower priority,Very important but lower priority,"Yes, happened, but not in past 12 months","Yes, happened, but not in past 12 months",Never happened,Never happened,Never happened,Never happened,"Yes, in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","No, do not regularly discuss LGBT issues",Yes,Yes,NA,Male,NA,NA,No,NA,NA,NA,No,Employed full-time,Very accepting,All or most of them,The push for same-sex marriage has taken too much focus away from other issues important to LGBT people,LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,Seldom,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$100,000 to under $150,000",35-44,Bachelor's degree or higher,"White, Non-Hispanic",No,1,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.7185,50
707,Pretty happy,Right direction,Mostly favorable,Mostly unfavorable,Mostly favorable,Mostly favorable,"A smaller government, providing fewer services",Some of the time,Some,Some,A lot,Some,A lot,To protect the right of Americans to own guns,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people today have it easy because they can get government benefits without doing anything in return,Good shape,Strongly favor,Strongly favor,Always,Yes,Independent,The Republican Party,Moderate,Female,Divorced,No,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Very important reason,Not an important reason,Bisexual,No,NA,bisexual,Somewhat more attracted to females than males,Very important,Something positive,NA,Defines me/proud of/happy with who I am/Born this way/God made me this way,NA,NA,NA,NA,NA,NA,A lot,A lot,NA,Some,14,NA,14,14,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was not difficult to tell her,Not change,"No, did not tell my father",NA,NA,NA,NA,N/A dad not part of life or died/sick,NA,NA,"No, did not tell any sister(s)",NA,No did not tell sister (but could have),Not applicable,No brothers or brothers not part of life,"N/A no brothers or died/sick, not part of life","Yes, told one or more close friends",All or most of them,DK/No answer,NA,NA,Some,A lot more accepting,A lot more accepting,Neutral,Neutral,Friendly,Friendly,Neutral,Unfriendly,Unfriendly,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Helps a lot,Refused to answer,NA,NA,Some,Some,Only a little,Some,Only a little,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,Unfriendly,"No, no conflict",NA,Not a reason,Some,No,No,Only a few of them,Top priority,Top priority,Very important but lower priority,Very important but lower priority,Top priority,Top priority,Very important but lower priority,Never happened,"Yes, happened in past 12 months",Never happened,"Yes, happened, but not in past 12 months",Never happened,Never happened,"Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",No,No,NA,NA,NA,NA,No,NA,NA,NA,No,Employed full-time,Somewhat accepting,Some of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Protestant,NA,"No, not born again",Never,Not too important,I am absolutely certain that I am registered to vote at my current address,"$40,000 to under $50,000",35-44,Bachelor's degree or higher,"White, Non-Hispanic",Yes,5 or more people,At least 1 person <18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7186,15
708,Pretty happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A smaller government, providing fewer services",Most of the time,Some,Some,Some,Some,A lot,To control gun ownership,"Immigrants today are a burden on our country because they take our jobs, housing and health care",You can't be too careful in dealing with people,Poor people have hard lives because government benefits don't go far enough to help them live decently,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Liberal,Male,"Living with a partner, including a civil union",NA,Somewhat important reason,Very important reason,Very important reason,Somewhat important reason,Very important reason,Somewhat important reason,Not an important reason,Gay,No,NA,gay,Only or mostly attracted to males,Somewhat important,Something positive,NA,Family/friends/society accept me for who I am,NA,NA,NA,NA,NA,NA,Only a little,NA,Only a little,Not at all,7,NA,15,18,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was not difficult to tell her,Grow stronger,"No, did not tell my father",Not ready/Guilty/Not comfortable/Timing wasn't right,NA,NA,NA,No did not tell dad (but could have),NA,NA,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life","Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Other,NA,NA,Some,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Neutral,Unfriendly,Neutral,Helps a lot,Helps a lot,Helps a lot,Helps a little,Helps a lot,Helps a little,Barney Frank,NA,NA,Some,Some,Only a little,Only a little,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Unfriendly,"No, no conflict",NA,Minor reason,A lot,No,No,All or most of them,Very important but lower priority,Top priority,Very important but lower priority,Somewhat important priority,Somewhat important priority,Somewhat important priority,Not a priority at all,Never happened,Never happened,Never happened,Never happened,Never happened,Never happened,"Yes, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","No, never done this","No, do not regularly discuss LGBT issues",No,Yes,Male,NA,NA,Yes,No,NA,No,NA,Not sure,Employed full-time,Very accepting,All or most of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,"My {#\.POV_Q32}  makes me  different from other people, and I am comfortable with that",It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Roman Catholic,NA,"No, not born again",A few times a year,Not too important,I am absolutely certain that I am registered to vote at my current address,"$75,000 to under $100,000",35-44,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.72,207
709,Not too happy,Right direction,Very favorable,Mostly favorable,Very unfavorable,Mostly favorable,"A bigger government, providing more services",Some of the time,Some,Some,A lot,Some,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,You can't be too careful in dealing with people,Poor people have hard lives because government benefits don't go far enough to help them live decently,Poor shape,Strongly favor,Strongly favor,Nearly always,Yes,Democrat,NA,Liberal,Female,Never been married,No,Very important reason,Very important reason,Very important reason,Not an important reason,Very important reason,Very important reason,Somewhat important reason,Bisexual,No,NA,bisexual,Somewhat more attracted to females than males,Very important,Something positive,NA,Has helped me find love/form relationships/good for love life,NA,NA,NA,NA,NA,NA,Only a little,Only a little,NA,Only a little,20,NA,52,52,"No, did not tell my mother",Not ready/Guilty/Not comfortable/Timing wasn't right,NA,NA,NA,No did not tell mom (but could have),NA,NA,"No, did not tell my father",NA,NA,NA,NA,N/A dad not part of life or died/sick,NA,NA,"Yes, told one or more sisters",NA,Yes told sister,"No, did not tell any brothers(s)",NA,No did not tell brother (but could have),"Yes, told one or more close friends",Only a few of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,Violence/bullying/hate crimes,NA,A lot,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Friendly,Unfriendly,Unfriendly,Helps a lot,Helps a little,Helps a lot,Helps a lot,Helps a lot,Helps a little,Barack Obama,NA,NA,Some,A lot,Some,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Not a reason,Some,No,No,None of them,Top priority,Top priority,Top priority,Top priority,Top priority,Somewhat important priority,Top priority,Never happened,Never happened,Never happened,Never happened,Never happened,Never happened,"Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","No, never done this","No, never done this","No, do not regularly discuss LGBT issues",No,Not sure,NA,NA,NA,NA,No,NA,NA,NA,No,Employed full-time,Somewhat accepting,None of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",LGBT people should be able to achieve equality while still maintaining their own distinct culture and way of life,I don't want to be seen as different because of my {#\.POV_Q32},It is important to maintain places like LGBT neighborhoods and gay and lesbian bars,"Born in U.S., P.R. or Territories",Nothing in particular,Yes,"No, not born again",Never,Somewhat important,I am absolutely certain that I am registered to vote at my current address,"$20,000 to under $30,000",45-54,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,No people < 18 yrs in HH,Metro,Rented for cash,Yes,0.7217,21
710,Pretty happy,Right direction,Mostly favorable,Mostly favorable,Very unfavorable,Mostly unfavorable,"A bigger government, providing more services",Most of the time,A lot,A lot,A lot,A lot,A lot,To control gun ownership,Immigrants today strengthen our country because of their hard work and talents,"Generally speaking, most people can be trusted",Poor people have hard lives because government benefits don't go far enough to help them live decently,Good shape,Strongly favor,Strongly favor,Always,Yes,Democrat,NA,Liberal,Female,"Living with a partner, including a civil union",NA,Somewhat important reason,Not an important reason,Somewhat important reason,Somewhat important reason,Somewhat important reason,Very important reason,Not an important reason,Lesbian,No,NA,lesbian,Only or mostly attracted to females,Somewhat important,Something positive,NA,Has helped me find love/form relationships/good for love life,Family/friends/society accept me for who I am,NA,NA,NA,NA,NA,NA,A lot,A lot,A lot,48,NA,48,48,"Yes, told my mother",NA,NA,NA,NA,Yes told mom,It was difficult to tell her,Not change,Not applicable,NA,NA,NA,Dad not part of life or passed away before could tell,N/A dad not part of life or died/sick,NA,NA,Not applicable,No sisters or sisters not part of life,"N/A no sisters or died/sick, not part of life","Yes, told one or more brothers",NA,Yes told brother,"Yes, told one or more close friends",All or most of them,Lack of general equality/discrimination/prejudice/bigotry/stigma,Right to marry,NA,Some,A lot more accepting,A lot more accepting,Friendly,Unfriendly,Friendly,Friendly,Neutral,Unfriendly,Neutral,Helps a lot,Helps a little,Helps a lot,Helps a lot,Helps a lot,Helps a little,Ellen DeGeneres,Joe Biden,Rachel Maddow,Some,Some,Only a little,Some,Only a little,Unfriendly,Unfriendly,Neutral,Unfriendly,Unfriendly,Neutral,"No, no conflict",NA,Not a reason,Only a little,No,No,Only a few of them,Top priority,Top priority,Top priority,Very important but lower priority,Very important but lower priority,Very important but lower priority,Top priority,Never happened,"Yes, happened in past 12 months","Yes, happened in past 12 months",Never happened,Never happened,"Yes, happened, but not in past 12 months","Yes, but not in past 12 months","Yes, in past 12 months","Yes, in past 12 months","No, never done this","Yes, but not in past 12 months","Yes, but not in past 12 months","Yes, but not in past 12 months","No, do not regularly discuss LGBT issues",No,Yes,Female,NA,NA,No,Yes,No,No,NA,NA,Employed full-time,Somewhat accepting,Only a few of them,"Same-sex marriage should be a top priority for LGBT people right now, even if this means some other issues do not get mu",The best way to achieve equality is for LGBT people to be a part of  mainstream culture and institutions like marriage,I don't want to be seen as different because of my {#\.POV_Q32},These types of places will not be important as LGBT people are more accepted into society,"Born in U.S., P.R. or Territories",Agnostic or Atheist,NA,NA,Never,Not at all important,I am absolutely certain that I am registered to vote at my current address,"$50,000 to under $75,000",55-64,High school,"White, Non-Hispanic",Yes,3,No people < 18 yrs in HH,Metro,Owned or being bought by you or someone in your household,Yes,0.7232,171
